岗位id,城市,公司全名,公司缩写,福利待遇,工作地点,学历要求,工作类型,发布时间,职位名称,薪资,工作年限,公司类型,公司规模,公司阶段
6198172,北京,北京清众教育科技有限公司,一起考教师,"['股票期权', '岗位晋升', '五险一金', '弹性工作']",海淀区,本科,产品|需求|项目类,2019/9/15,数据分析工程师（可视化方向）,10k-12k,1-3年,教育,150-500人,B轮
5800754,上海,上海维信荟智金融科技有限公司,维信金融科技集团,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",虹口区,本科,开发|测试|运维类,2019/9/11,数据分析师（风险分析）,13k-18k,1-3年,金融,2000人以上,上市公司
6338535,广州,广州阿凡提电子科技有限公司,阿凡提,['绩效奖金'],海珠区,大专,产品|需求|项目类,2019/9/5,数据分析师,5k-8k,3-5年,电商,15-50人,天使轮
6338535,广州,广州阿凡提电子科技有限公司,阿凡提,['绩效奖金'],海珠区,大专,产品|需求|项目类,2019/9/5,数据分析师,5k-8k,3-5年,电商,15-50人,天使轮
5719370,杭州,宁波鲸灵网络科技有限公司,鲸灵集团,[],余杭区,本科,产品|需求|项目类,2019/9/4,数据分析师,12k-24k,不限,消费生活,150-500人,B轮
6284258,上海,上海曌扬汽车服务有限公司,联众金融,[],浦东新区,本科,开发|测试|运维类,15:31发布,数据分析经理,20k-30k,5-10年,金融,500-2000人,B轮
5193710,深圳,深圳市中手游网络科技有限公司,CMGE中手游,"['节日礼物', '技能培训', '绩效奖金', '岗位晋升']",福田区,本科,产品|需求|项目类,09:47发布,sz1-数据分析（创新游戏）,8k-16k,1-3年,游戏,500-2000人,上市公司
6174168,深圳,顺丰科技有限公司,顺丰科技有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",南山区,本科,开发|测试|运维类,1天前发布,GJY-数据分析与运营工程师,15k-20k,3-5年,物流丨运输,2000人以上,不需要融资
5472091,苏州,东莞市糖酒集团美宜佳便利店有限公司,东莞美宜佳,"['带薪年假', '提供住宿', '员工餐厅', '专项奖金']",工业园区,本科,产品|需求|项目类,3天前发布,数据分析师,7k-9k,1-3年,其他,500-2000人,不需要融资
6399381,上海,携程计算机技术（上海）有限公司,携程,"['绩效奖金', '股票期权', '五险一金', '交通补助']",长宁区,硕士,产品|需求|项目类,2019/9/11,数据分析师,2k-3k,应届毕业生,旅游,2000人以上,上市公司
5371833,上海,上海鸿研物流技术有限公司,鸿研物流,"['技能培训', '绩效奖金', '岗位晋升', '年度旅游']",闵行区,本科,产品|需求|项目类,2019/9/10,数据分析师,20k-25k,3-5年,消费生活,150-500人,C轮
6380446,北京,北京健康之家科技有限公司,水滴公司,"['网络互助', '医疗健康', '网络筹款', '互联网金融']",朝阳区,本科,产品|需求|项目类,2019/9/6,数据分析师,20k-40k,5-10年,医疗丨健康,2000人以上,C轮
6394199,北京,北京十方途创网络技术有限公司,十方途创,"['技能培训', '节日礼物', '专项奖金', '股票期权']",朝阳区,本科,运营|编辑|客服类,1天前发布,游戏运营-数据分析,6k-9k,1-3年,移动互联网,15-50人,不需要融资
6161661,北京,车好多旧机动车经纪（北京）有限公司,车好多集团,"['带薪年假', '弹性工作', '免费班车', '五险一金']",朝阳区,本科,产品|需求|项目类,3天前发布,数据分析,18k-35k,3-5年,消费生活,2000人以上,D轮及以上
5591643,北京,雪球（北京）技术开发有限公司,雪球,"['股票期权', '带薪年假', '年度旅游', '定期体检']",朝阳区,本科,开发|测试|运维类,2019/9/8,数据分析师-用户增长方向,18k-35k,3-5年,金融,150-500人,D轮及以上
6280334,深圳,中信银行股份有限公司信用卡中心,中信银行信用卡中心,"['互联网金融', '节日礼物', '绩效奖金', '年度旅游']",福田区,不限,开发|测试|运维类,2019/9/4,数据分析岗,20k-40k,3-5年,金融,2000人以上,上市公司
5245795,北京,北京方研矩行科技有限公司,青莲云,"['股票期权', '扁平管理', '极客氛围', '技能培训']",朝阳区,本科,开发|测试|运维类,10:02发布,数据分析工程师,15k-25k,1-3年,"企业服务,硬件",15-50人,A轮
6106722,广州,广州市百果园网络科技有限公司,Bigo,"['年底双薪', '五险一金', '年终奖', '班车接送']",番禺区,本科,产品|需求|项目类,09:55发布,数据分析经理,30k-50k,5-10年,社交,2000人以上,上市公司
6200409,北京,北京陌陌科技有限公司,陌陌,"['岗位晋升', '帅哥多', '管理规范', '技能培训']",朝阳区,本科,产品|需求|项目类,1天前发布,【2020校招】数据分析师（反Spam方向）,10k-20k,应届毕业生,社交,500-2000人,上市公司
6266501,北京,北京世纪好未来教育科技有限公司,好未来,"['上市公司', '领军企业', '五险一金', '住福计划']",海淀区,不限,产品|需求|项目类,1天前发布,数据分析师,7k-12k,不限,教育,2000人以上,上市公司
4570294,北京,百融云创科技股份有限公司,百融云创,"['技能培训', '股票期权', '带薪年假', '定期体检']",朝阳区,本科,开发|测试|运维类,1天前发布,数据分析师,15k-30k,3-5年,金融,500-2000人,C轮
6396560,上海,上海拍拍贷金融信息服务有限公司,拍拍贷,"['绩效奖金', '五险一金', '带薪年假', '午餐补助']",浦东新区,本科,开发|测试|运维类,09:08发布,2020校招-数据分析师（π.X）,12k-18k,应届毕业生,金融,2000人以上,上市公司
5145191,北京,京东数字科技控股有限公司,京东数字科技,"['供应链金融', '消费金融', '众筹业务', '支付业务']",大兴区,硕士,开发|测试|运维类,1天前发布,数据分析师,25k-50k,5-10年,金融,2000人以上,上市公司
6041466,北京,天道计然（北京）信息科技有限责任公司,美利金融,"['节日礼物', '股票期权', '带薪年假', '年底多薪']",朝阳区,本科,金融类,1天前发布,数据分析（资金方向）,13k-25k,1-3年,金融,2000人以上,B轮
5465412,北京,北京蓝城兄弟信息技术有限公司,淡蓝网Blued,"['股票期权', '五险一金', '带薪年假', '节日礼物']",朝阳区,本科,产品|需求|项目类,1天前发布,数据分析师,15k-25k,3-5年,社交,150-500人,D轮及以上
6270890,深圳,万兴科技集团股份有限公司,万兴科技集团股份有限公司,"['股票期权', '骨干配车', '创业平台', '餐饮补助']",南山区,不限,产品|需求|项目类,1天前发布,数据分析师,11k-22k,1-3年,移动互联网,500-2000人,上市公司
6404287,成都,成都知道创宇信息技术有限公司,知道创宇,"['节日礼物', '岗位晋升', '美女多', '领导好']",高新区,硕士,开发|测试|运维类,10:17发布,数据分析实习生（业务分析）(J10401),5k-6k,应届毕业生,信息安全,500-2000人,C轮
6371179,成都,成都知道创宇信息技术有限公司,知道创宇,"['节日礼物', '岗位晋升', '美女多', '领导好']",高新区,本科,综合职能|高级管理,10:17发布,数据分析实习生（业务）(J10305),2k-4k,应届毕业生,信息安全,500-2000人,C轮
6321811,上海,上海莉莉丝科技股份有限公司,莉莉丝游戏,"['都是萌妹子', '项目奖金', '零食无限量', '牛逼的同事']",闵行区,不限,开发|测试|运维类,1天前发布,广告数据分析师,15k-25k,1-3年,游戏,150-500人,不需要融资
6317335,广州,蓝月亮（中国）有限公司,蓝月亮,"['五险一金', '带薪年假', '免费班车', '定期体检']",黄埔区,本科,产品|需求|项目类,1天前发布,数据分析师,10k-15k,不限,消费生活,2000人以上,不需要融资
6067633,深圳,天道计然（北京）信息科技有限责任公司,美利金融,"['节日礼物', '股票期权', '带薪年假', '年底多薪']",南山区,本科,产品|需求|项目类,1天前发布,数据分析师,20k-30k,3-5年,金融,2000人以上,B轮
6316739,广州,广州骏伯网络科技有限公司,骏伯网络,[],天河区,本科,市场|商务类,09:57发布,高级数据分析师,15k-20k,3-5年,移动互联网,150-500人,上市公司
6106455,上海,上海轻轻信息科技有限公司,轻轻家教,"['顶级VC投资', '央视报道', '赛道第一', '产品驱动']",徐汇区,本科,产品|需求|项目类,1天前发布,数据分析师,15k-25k,1-3年,教育,2000人以上,D轮及以上
5155283,北京,人人贷商务顾问（北京）有限公司,人人贷,"['年底双薪', '五险一金', '交通补助', '带薪年假']",海淀区,不限,金融类,2019/8/29,数据分析师（贷后）,25k-40k,3-5年,金融,2000人以上,A轮
6004972,深圳,亿达信息技术（深圳）有限公司,YIDATEC,[],南山区,本科,产品|需求|项目类,2019/8/28,数据分析师,8k-12k,1-3年,游戏,2000人以上,不需要融资
6272141,北京,北京云动九天科技有限公司,省钱快报,"['技能培训', '专项奖金', '带薪年假', '绩效奖金']",东城区,本科,开发|测试|运维类,15:21发布,高级数据分析师（电商方向）,25k-50k,5-10年,电商,150-500人,C轮
5145791,广州,广州市银兴计算机服务有限公司,银兴,[],天河区,本科,开发|测试|运维类,12:33发布,数据分析工程师,13k-26k,3-5年,其他,50-150人,上市公司
6067812,杭州,江南布衣服饰有限公司,江南布衣,"['午餐补助', '带薪年假', '定期体检', '年度旅游']",西湖区,大专,产品|需求|项目类,09:41发布,数据分析专员,6k-9k,3-5年,"电商,消费生活",2000人以上,上市公司
5235242,北京,上海淇毓信息科技有限公司,奇虎360金融,"['年底双薪', '股票期权', '带薪年假', '定期体检']",朝阳区,不限,开发|测试|运维类,1天前发布,数据分析工程师,20k-40k,3-5年,金融,500-2000人,上市公司
6200466,成都,北京陌陌科技有限公司,陌陌,"['岗位晋升', '帅哥多', '管理规范', '技能培训']",武侯区,本科,开发|测试|运维类,1天前发布,【2020校招】反垃圾策略分析师/数据分析师,10k-20k,应届毕业生,社交,500-2000人,上市公司
6402373,北京,深圳马可孛罗科技有限公司,PKFARE比客,"['股票期权', '带薪年假', '绩效奖金', '年度旅游']",朝阳区,硕士,产品|需求|项目类,2019/9/12,数据分析师,10k-20k,不限,旅游,150-500人,A轮
6349406,上海,遨游酒店信息技术(深圳)有限责任公司,OYO,"['扁平管理', '弹性工作', '精英团队', '高速发展']",杨浦区,本科,产品|需求|项目类,2019/9/11,数据分析师,25k-50k,5-10年,移动互联网,500-2000人,不需要融资
6163518,深圳,深圳易可达科技有限公司,纵腾网络,"['绩效奖金', '年度旅游', '节日礼物', '美女多']",龙华新区,本科,产品|需求|项目类,2019/9/10,数据分析师,10k-15k,1-3年,电商,500-2000人,上市公司
5214023,上海,上海腾聘企业管理咨询有限公司,上海腾聘,"['年底双薪', '绩效奖金', '年终分红', '交通补助']",浦东新区,本科,开发|测试|运维类,2019/9/8,数据分析leader,35k-65k,5-10年,数据服务,50-150人,B轮
4957675,上海,算话智能科技有限公司,算话智能科技有限公司,"['股票期权', '交通补助', '绩效奖金', '优秀团队']",长宁区,本科,产品|需求|项目类,2019/9/6,数据分析师,12k-16k,1-3年,数据服务,50-150人,B轮
6277139,北京,欧普拉软件技术（北京）有限公司,Opera,"['浏览器', '移动互联网', 'c++', '安卓']",东城区,本科,开发|测试|运维类,2019/9/5,大数据分析师（Olist）,15k-20k,1-3年,移动互联网,500-2000人,上市公司
6143041,天津,沈阳海昊大数据科技有限公司,海昊大数据,"['年底双薪', '带薪年假', '节日礼物', '管理规范']",东丽区,大专,产品|需求|项目类,13:59发布,数据分析工程师,7k-14k,1-3年,"数据服务,人工智能",50-150人,不需要融资
6253004,北京,北京三快在线科技有限公司,美团点评,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",朝阳区,本科,运营|编辑|客服类,10:03发布,数据分析岗-—供应链方向,15k-30k,3-5年,消费生活,2000人以上,上市公司
5253335,北京,北京大米未来科技有限公司,VIPKID,"['绩效奖金', '股票期权', '五险一金', '带薪年假']",朝阳区,本科,产品|需求|项目类,2019/9/11,数据分析经理（用户）,15k-30k,5-10年,教育,2000人以上,D轮及以上
6118476,北京,泰康保险集团股份有限公司,泰康保险集团,"['交通补助', '午餐补助', '带薪年假', '定期体检']",昌平区,本科,产品|需求|项目类,2019/8/28,数据分析师,15k-20k,3-5年,金融,2000人以上,不需要融资
6324385,南宁,国海证券股份有限公司,国海证券,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",青秀区,本科,金融类,2019/8/23,数据分析岗,10k-15k,3-5年,金融,500-2000人,上市公司
6312441,深圳,OPPO广东移动通信有限公司,OPPO,"['丰厚年终', '扁平管理', '追求极致', '本分']",南山区,本科,开发|测试|运维类,2019/8/21,数据分析师,20k-40k,3-5年,硬件,2000人以上,不需要融资
6282406,北京,便利蜂商贸有限公司,便利蜂,"['弹性工作', '美女多', '帅哥多', '领导好']",朝阳区,本科,开发|测试|运维类,1天前发布,数据分析师/高级数据分析师,20k-40k,3-5年,消费生活,2000人以上,不需要融资
5533852,上海,即科金融信息服务（上海）有限公司,GeexFinance,"['互联网金融', '技能培训', '五角场', '年度旅游']",杨浦区,大专,产品|需求|项目类,2天前发布,数据分析工程师,10k-20k,3-5年,金融,150-500人,A轮
5713491,上海,久远谦长（北京）技术服务有限公司,久谦咨询,"['专项奖金', '带薪年假', '绩效奖金', '定期体检']",徐汇区,本科,产品|需求|项目类,3天前发布,数据分析师,10k-20k,不限,"企业服务,数据服务",50-150人,未融资
6365710,北京,北京口袋财富信息科技有限公司,理财魔方,"['股票期权', '专项奖金', '带薪年假', '年度旅游']",海淀区,本科,开发|测试|运维类,2019/9/12,数据分析师(运营方向）,15k-30k,3-5年,金融,50-150人,A轮
5515756,北京,混沌时代（北京）教育科技有限公司,混沌大学,"['弹性工作', '扁平管理', '领导好', '五险一金']",海淀区,本科,产品|需求|项目类,2019/9/11,数据分析师,15k-30k,3-5年,教育,150-500人,不需要融资
6280681,苏州,苏州奖多多科技有限公司,奖多多,"['全额五险一金', '产品好用户多', '绩效奖金', '岗位晋升']",工业园区,本科,产品|需求|项目类,2019/9/6,数据分析,8k-15k,1-3年,消费生活,150-500人,B轮
6378369,天津,厦门唐普信息技术有限公司,厦门唐普,[],河北区,大专,产品|需求|项目类,2019/9/5,数据分析师,8k-15k,3-5年,"企业服务,数据服务",50-150人,B轮
6309598,深圳,深圳市盛达瑞智能科技有限公司,深圳市盛达瑞智能科技有限公司,"['绩效奖金', '带薪年假', '五险一金', '年终奖金']",南山区,本科,产品|需求|项目类,2019/8/29,数据分析师,10k-20k,3-5年,区块链,150-500人,不需要融资
6255877,武汉,北京大米未来科技有限公司,VIPKID,"['绩效奖金', '股票期权', '五险一金', '带薪年假']",洪山区,本科,产品|需求|项目类,2019/8/28,数据分析师（武汉）,15k-25k,3-5年,教育,2000人以上,D轮及以上
6262603,深圳,滴滴优点科技（深圳）有限公司,滴滴优点,"['五险一金', '加班补助', '年终奖', '股票期权']",福田区,本科,产品|需求|项目类,1天前发布,数据分析/数据产品,20k-30k,3-5年,移动互联网,50-150人,不需要融资
6387800,上海,深圳平安综合金融服务有限公司,平安金服,[],黄浦区,本科,开发|测试|运维类,2019/9/12,数据分析师,18k-36k,3-5年,金融,2000人以上,上市公司
6314723,武汉,武汉斗鱼网络科技有限公司,斗鱼直播,"['技能培训', '绩效奖金', '年度旅游', '管理规范']",洪山区,不限,产品|需求|项目类,2019/9/9,数据分析师（武汉）(J10893),10k-20k,应届毕业生,文娱丨内容,2000人以上,上市公司
6383073,北京,北京好车多多信息科技有限公司,车多多,"['带薪年假', '午餐补助', '弹性工作', '年终分红']",朝阳区,本科,开发|测试|运维类,2019/9/6,数据分析/BI开发,15k-30k,3-5年,金融,2000人以上,B轮
6104455,北京,北京链家房地产经纪有限公司,北京链家,"['年终分红', '绩效奖金', '股票期权', '专项奖金']",朝阳区,本科,产品|需求|项目类,2019/9/3,数据分析师,13k-20k,1-3年,房产家居,2000人以上,不需要融资
6285110,广州,广州合摩计算机科技有限公司,爱员工,[],天河区,本科,产品|需求|项目类,15:30发布,数据分析专家,25k-40k,3-5年,移动互联网,150-500人,B轮
6396057,上海,上海掌小门教育科技有限公司,掌门1对1在线教育,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']",虹口区,本科,产品|需求|项目类,2019/9/11,数据分析师,15k-25k,不限,教育,2000人以上,D轮及以上
6293091,深圳,深圳前海联易融金融服务有限公司,联易融linklogis,"['带薪年假', '定期体检', '六险一金', '婚育礼金']",南山区,本科,产品|需求|项目类,2019/9/10,数据分析师-HK,25k-30k,3-5年,金融,150-500人,C轮
6024946,深圳,深圳市万普拉斯科技有限公司,一加手机,"['五险一金', '通讯津贴', '带薪年假', '节日礼物']",福田区,本科,开发|测试|运维类,2019/9/5,数据分析师,15k-20k,3-5年,硬件,500-2000人,未融资
6237070,北京,大鱼快乐有限公司,阿里文娱,"['年底双薪', '股票期权', '绩效奖金', '定期体检']",朝阳区,本科,产品|需求|项目类,2019/8/30,数据分析师,25k-45k,5-10年,文娱丨内容,2000人以上,上市公司
5908425,杭州,上海婚家婴会展服务有限公司成都分公司,中国婚博会,"['技能培训', '领导好', '美女多', '帅哥多']",下城区,本科,开发|测试|运维类,15:13发布,资深数据分析师,20k-35k,3-5年,其他,500-2000人,不需要融资
6216429,成都,微慕客（成都）科技有限公司,微慕客（成都）科技有限公司,[],双流县,本科,开发|测试|运维类,14:27发布,数据分析/数据科学研究员,12k-20k,3-5年,数据服务,50-150人,不需要融资
4646123,上海,彪洋科技（北京）有限公司,彪洋科技,"['年底双薪', '带薪年假', '年度旅游', '带薪病假']",长宁区,本科,产品|需求|项目类,11:21发布,数据分析师-SH,8k-15k,1-3年,移动互联网,150-500人,不需要融资
5441137,北京,泰康在线财产保险股份有限公司,泰康在线,"['绩效奖金', '带薪年假', '交通补助', '通讯津贴']",昌平区,本科,产品|需求|项目类,10:21发布,数据分析主管,15k-20k,3-5年,金融,500-2000人,不需要融资
6407116,上海,前锦网络信息技术（上海）有限公司,51JOB,[],浦东新区,本科,开发|测试|运维类,09:34发布,数据分析工程师（算法方向）,12k-24k,不限,企业服务,2000人以上,上市公司
6402335,深圳,OPPO广东移动通信有限公司,OPPO,"['丰厚年终', '扁平管理', '追求极致', '本分']",南山区,本科,开发|测试|运维类,2019/9/12,数据分析工程师,15k-30k,3-5年,硬件,2000人以上,不需要融资
6321520,上海,上海好屋网信息技术有限公司,好屋中国,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",宝山区,本科,产品|需求|项目类,2019/9/10,数据分析师,12k-20k,不限,消费生活,2000人以上,A轮
5978715,杭州,南京华苏科技有限公司,华苏科技,"['节日礼物', '年底双薪', '股票期权', '带薪年假']",西湖区,大专,产品|需求|项目类,2019/9/9,数据分析,6k-8k,1-3年,企业服务,2000人以上,上市公司
5613503,北京,精硕科技（北京）股份有限公司,AdMaster,[],朝阳区,本科,市场|商务类,11:12发布,数据分析师-社会化媒体-北京,6k-8k,不限,数据服务,2000人以上,不需要融资
6402218,北京,华农财产保险股份有限公司,华农保险,"['节日礼物', '带薪年假', '绩效奖金', '岗位晋升']",西城区,本科,产品|需求|项目类,2019/9/12,数据分析师,5k-10k,1年以下,金融,500-2000人,不需要融资
6317918,上海,再惠（上海）网络科技有限公司,再惠网络,"['午餐晚餐补助', '领导亲和逗逼', '丰厚股票期权', '年底2-5薪']",徐汇区,本科,产品|需求|项目类,2019/9/10,数据分析师,15k-25k,3-5年,企业服务,500-2000人,B轮
6320867,北京,北京京东世纪贸易有限公司,京东物流,"['免费班车', '子女教育计划', '安居计划', '救助基金']",大兴区,本科,产品|需求|项目类,2019/9/3,数据分析师,10k-20k,3-5年,物流丨运输,2000人以上,上市公司
5954722,佛山,珠海市碧桂园管理服务有限公司,碧桂园集团数字化管理中心,"['年底双薪', '绩效奖金', '专项奖金', '年终分红']",顺德区,本科,产品|需求|项目类,2019/8/30,数据分析师,8k-15k,5-10年,"数据服务,房产家居",2000人以上,不需要融资
4836597,上海,同盾科技有限公司,同盾科技,"['技能培训', '股票期权', '绩效奖金', '岗位晋升']",徐汇区,本科,开发|测试|运维类,09:55发布,数据分析leader（信贷风控）-00888,25k-35k,5-10年,"信息安全,数据服务",500-2000人,C轮
4589400,广州,广州酷狗计算机科技有限公司,酷狗音乐,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",天河区,本科,产品|需求|项目类,09:35发布,ZBBU-数据分析师,10k-20k,1-3年,文娱丨内容,500-2000人,上市公司
5614359,深圳,腾讯科技（深圳）有限公司,腾讯,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",南山区,本科,开发|测试|运维类,09:21发布,29912-数据分析-运营开发,20k-40k,1-3年,社交,2000人以上,上市公司
6339810,广州,网易（杭州）网络有限公司,网易,"['节日礼物', '技能培训', '免费班车', '带薪年假']",天河区,本科,产品|需求|项目类,1天前发布,数据分析经理,30k-40k,5-10年,电商,2000人以上,上市公司
6103487,广州,广州汶颢信息技术有限公司,嘉米游戏,"['节日礼物', '绩效奖金', '岗位晋升', '扁平管理']",天河区,本科,运营|编辑|客服类,2天前发布,产品运营-数据分析岗（线上精品棋牌手游）,8k-16k,3-5年,游戏,50-150人,不需要融资
3864589,上海,即科金融信息服务（上海）有限公司,GeexFinance,"['互联网金融', '技能培训', '五角场', '年度旅游']",杨浦区,本科,产品|需求|项目类,2天前发布,数据分析经理,20k-30k,3-5年,金融,150-500人,A轮
6392103,北京,瑞庭网络技术（上海）有限公司,安居客,"['年底双薪', '绩效奖金', '带薪年假', '五险一金']",朝阳区,硕士,产品|需求|项目类,3天前发布,数据分析师-58同镇(J13511),15k-25k,1-3年,移动互联网,500-2000人,上市公司
6399378,上海,携程计算机技术（上海）有限公司,携程,"['绩效奖金', '股票期权', '五险一金', '交通补助']",长宁区,硕士,产品|需求|项目类,2019/9/11,数据分析师,11k-20k,1-3年,旅游,2000人以上,上市公司
6396140,长沙,北京五八到家信息技术有限公司,58到家,"['节日礼物', '技能培训', '股票期权', '免费班车']",岳麓区,本科,运营|编辑|客服类,2019/9/11,销售运营-数据分析方向,6k-8k,1-3年,消费生活,2000人以上,D轮及以上
5519338,深圳,厦门吉比特网络技术股份有限公司,吉比特,"['上市游戏公司', '六险一金', '住房补贴', '旅游经费']",南山区,本科,产品|需求|项目类,2019/9/9,数据分析师,10k-20k,1-3年,游戏,500-2000人,上市公司
6154766,北京,联想（北京）有限公司,联想集团,"['五险一金', '绩效奖金', '午餐补助', '带薪年假']",海淀区,硕士,产品|需求|项目类,2019/9/8,数据分析师,25k-40k,5-10年,数据服务,2000人以上,上市公司
5331497,北京,北京亿心宜行汽车技术开发服务有限公司,e代驾,"['技能培训', '年底双薪', '绩效奖金', '岗位晋升']",朝阳区,本科,运营|编辑|客服类,10:13发布,运营经理-用户运营/数据分析,15k-25k,1-3年,消费生活,500-2000人,D轮及以上
6381688,上海,北京美至网络科技有限公司,美至科技,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",黄浦区,本科,开发|测试|运维类,09:44发布,实习数据分析师,3k-6k,不限,消费生活,50-150人,A轮
5633727,成都,成都顶呱呱投资集团有限公司,顶呱呱,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",武侯区,大专,产品|需求|项目类,09:19发布,数据分析专员,5k-7k,1-3年,金融,2000人以上,上市公司
6203351,上海,中智关爱通（上海）科技股份有限公司,关爱通,"['技能培训', '节日礼物', '绩效奖金', '年度旅游']",徐汇区,本科,开发|测试|运维类,2019/9/10,数据分析师,13k-25k,3-5年,"电商,企业服务",150-500人,未融资
6218581,北京,北京凤凰理理它信息技术有限公司,凤凰金融,"['节日礼物', '技能培训', '股票期权', '带薪年假']",朝阳区,本科,产品|需求|项目类,2019/9/9,数据分析与管理,15k-30k,3-5年,金融,500-2000人,A轮
6253028,上海,上海小牛互娱智能科技有限公司,上海小牛互娱智能科技有限公司,"['年底双薪', '带薪年假', '扁平管理', '领导好']",浦东新区,本科,产品|需求|项目类,2019/8/30,数据分析师,15k-30k,3-5年,移动互联网,500-2000人,未融资
6336791,北京,北京创锐文化传媒有限公司,聚美优品,"['技能培训', '节日礼物', '季度奖金', '岗位晋升']",东城区,本科,产品|需求|项目类,2019/8/27,数据分析师（商业化）,18k-35k,3-5年,电商,2000人以上,上市公司
6390455,北京,北京币世界网络科技有限公司,币世界,"['岗位晋升', '五险一金', '节日礼物']",朝阳区,本科,产品|需求|项目类,14:15发布,数据分析实习生,2k-4k,不限,金融,150-500人,A轮
6394068,北京,家宅融智（北京）科技有限公司,好好住,"['技能培训', '股票期权', '带薪年假', '年度旅游']",朝阳区,本科,开发|测试|运维类,1天前发布,00127-数据分析实习生,3k-4k,不限,社交,150-500人,B轮
4958360,深圳,厦门吉比特网络技术股份有限公司,吉比特,"['上市游戏公司', '六险一金', '住房补贴', '旅游经费']",南山区,本科,产品|需求|项目类,2019/9/9,数据分析师（挖掘方向）,15k-25k,3-5年,游戏,500-2000人,上市公司
5528843,上海,上海你我贷互联网金融信息服务有限公司,上海你我贷互联网金融信息服务,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",浦东新区,本科,产品|需求|项目类,2019/8/27,数据分析师,20k-30k,3-5年,金融,500-2000人,上市公司
6143285,成都,北京弘合柏基金融信息服务有限责任公司,有利网,"['岗位晋升', '股票期权', '绩效奖金', '定期体检']",武侯区,不限,金融类,2019/8/23,数据分析 (MJ000445),6k-12k,1-3年,金融,2000人以上,不需要融资
5887462,广州,广州数驰信息科技有限公司,数驰科技,"['年底双薪', '午餐补助', '带薪年假', '在职培训']",番禺区,不限,产品|需求|项目类,09:40发布,数据分析工程师,10k-15k,1-3年,数据服务,15-50人,未融资
5887462,广州,广州数驰信息科技有限公司,数驰科技,"['年底双薪', '午餐补助', '带薪年假', '在职培训']",番禺区,不限,产品|需求|项目类,09:40发布,数据分析工程师,10k-15k,1-3年,数据服务,15-50人,未融资
6036819,深圳,中保车服科技服务股份有限公司,中保车服,[],福田区,本科,产品|需求|项目类,09:06发布,数据分析工程师,20k-40k,3-5年,金融,150-500人,未融资
5585945,广州,网易（杭州）网络有限公司,网易,"['节日礼物', '技能培训', '免费班车', '带薪年假']",天河区,本科,产品|需求|项目类,2019/9/11,数据分析师,12k-24k,不限,电商,2000人以上,上市公司
6188208,上海,上海云济信息科技有限公司,复星,"['年底双薪', '绩效奖金', '带薪年假', '交通补助']",杨浦区,本科,产品|需求|项目类,2019/9/9,数据分析师,20k-40k,5-10年,"消费生活,金融",2000人以上,上市公司
6353330,北京,北京斑马天下教育科技有限公司,斑马天下,[],朝阳区,本科,产品|需求|项目类,2019/9/5,数据分析,10k-20k,1-3年,教育,50-150人,天使轮
6024081,广州,美的集团股份有限公司,美的集团IT,"['五险一金', '带薪年假', '免费班车', '年度旅游']",番禺区,本科,产品|需求|项目类,2019/8/29,数据分析师,10k-20k,3-5年,硬件,2000人以上,上市公司
6179003,北京,欧普拉软件技术（北京）有限公司,Opera,"['浏览器', '移动互联网', 'c++', '安卓']",东城区,本科,产品|需求|项目类,2019/8/27,数据分析师,15k-30k,3-5年,移动互联网,500-2000人,上市公司
6299052,徐州,智地信息科技（徐州）有限公司,智地科技,[],泉山区,本科,产品|需求|项目类,1天前发布,数据分析实习,3k-6k,不限,"数据服务,软件开发",少于15人,未融资
6230698,杭州,湖北牛富软件有限公司,牛富软件,[],滨江区,本科,产品|需求|项目类,2019/8/26,数据分析师（数据产品方向）,10k-15k,3-5年,"金融,软件开发",150-500人,不需要融资
5306323,上海,同盾科技有限公司,同盾科技,"['技能培训', '股票期权', '绩效奖金', '岗位晋升']",徐汇区,本科,开发|测试|运维类,09:55发布,数据分析专家（信贷风控）-01364,20k-30k,3-5年,"信息安全,数据服务",500-2000人,C轮
6321870,广州,三七互娱（上海）科技有限公司,三七互娱,"['高额奖金', '快速晋升', '五险一金', '带薪年假']",天河区,本科,产品|需求|项目类,09:15发布,数据分析专员,3k-4k,应届毕业生,游戏,2000人以上,上市公司
5750230,广州,上海翡翠东方网络信息技术有限公司,翡翠东方TVBC,"['午餐补助', '交通补助', '通讯津贴', '定期体检']",天河区,本科,开发|测试|运维类,1天前发布,数据分析工程师,18k-30k,3-5年,文娱丨内容,15-50人,不需要融资
4289973,成都,成都市映潮科技股份有限公司,映潮科技,"['绩效奖金', '五险一金', '交通补助', '带薪年假']",高新区,本科,开发|测试|运维类,1天前发布,数据分析师-挖掘方向,8k-15k,1-3年,数据服务,50-150人,未融资
